wl	n	k
0.591	5.01334	3.65166
0.592	5.02179	3.64379
0.593	5.03017	3.63589
0.594	5.03848	3.62796
0.595	5.04674	3.62001
0.596	5.05492	3.61202
0.597	5.06305	3.60401
0.598	5.0711	3.59598
0.599	5.07909	3.58791
0.6	5.08702	3.57983
0.601	5.09488	3.57172
0.602	5.10267	3.56358
0.603	5.1104	3.55543
0.604	5.11806	3.54725
0.605	5.12566	3.53905
0.606	5.13319	3.53084
0.607	5.14066	3.5226
0.608	5.14805	3.51435
0.609	5.15539	3.50608
0.61	5.16265	3.49779
0.611	5.16985	3.48948
0.612	5.17699	3.48117
0.613	5.18405	3.47283
0.614	5.19106	3.46448
0.615	5.19799	3.45612
0.616	5.20486	3.44775
0.617	5.21167	3.43937
0.618	5.21841	3.43097
0.619	5.22508	3.42257
0.62	5.23169	3.41415
0.621	5.23823	3.40573
0.622	5.24471	3.3973
0.623	5.25113	3.38886
0.624	5.25748	3.38042
0.625	5.26376	3.37196
0.626	5.26998	3.36351
0.627	5.27614	3.35505
0.628	5.28223	3.34658
0.629	5.28826	3.33811
0.63	5.29423	3.32964
0.631	5.30013	3.32117
0.632	5.30597	3.3127
0.633	5.31175	3.30422
0.634	5.31746	3.29575
0.635	5.32312	3.28727
0.636	5.32871	3.2788
0.637	5.33424	3.27033
0.638	5.33971	3.26186
0.639	5.34511	3.25339
0.64	5.35046	3.24493
0.641	5.35575	3.23647
0.642	5.36097	3.22801
0.643	5.36614	3.21956
0.644	5.37125	3.21112
0.645	5.37629	3.20268
0.646	5.38128	3.19425
0.647	5.38621	3.18582
0.648	5.39109	3.1774
0.649	5.3959	3.16899
0.65	5.40066	3.16059
0.651	5.40536	3.1522
0.652	5.41	3.14382
0.653	5.41459	3.13544
0.654	5.41912	3.12708
0.655	5.4236	3.11873
0.656	5.42802	3.11039
0.657	5.43239	3.10206
0.658	5.4367	3.09374
0.659	5.44096	3.08543
0.66	5.44516	3.07714
0.661	5.44931	3.06886
0.662	5.45341	3.0606
0.663	5.45746	3.05235
0.664	5.46145	3.04411
0.665	5.46539	3.03589
0.666	5.46928	3.02768
0.667	5.47312	3.01949
0.668	5.47691	3.01131
0.669	5.48065	3.00315
0.67	5.48434	2.99501
0.671	5.48798	2.98688
0.672	5.49157	2.97877
0.673	5.49512	2.97068
0.674	5.49861	2.9626
0.675	5.50206	2.95454
0.676	5.50546	2.9465
0.677	5.50881	2.93848
0.678	5.51212	2.93048
0.679	5.51538	2.9225
0.68	5.51859	2.91453
0.681	5.52176	2.90659
0.682	5.52489	2.89866
0.683	5.52797	2.89076
0.684	5.531	2.88287
0.685	5.534	2.87501
0.686	5.53695	2.86716
0.687	5.53985	2.85934
0.688	5.54272	2.85153
0.689	5.54554	2.84375
0.69	5.54832	2.83599
0.691	5.55106	2.82825
0.692	5.55376	2.82053
0.693	5.55642	2.81284
0.694	5.55904	2.80516
0.695	5.56161	2.79751
0.696	5.56415	2.78988
0.697	5.56665	2.78228
0.698	5.56912	2.77469
0.699	5.57154	2.76713
0.7	5.57393	2.75959
0.701	5.57628	2.75207
0.702	5.57859	2.74458
0.703	5.58086	2.73711
0.704	5.5831	2.72966
0.705	5.5853	2.72224
0.706	5.58747	2.71484
0.707	5.58961	2.70746
0.708	5.5917	2.70011
0.709	5.59377	2.69278
0.71	5.5958	2.68548
0.711	5.59779	2.6782
0.712	5.59976	2.67094
0.713	5.60168	2.66371
0.714	5.60358	2.6565
0.715	5.60545	2.64931
0.716	5.60728	2.64215
0.717	5.60908	2.63502
0.718	5.61085	2.6279
0.719	5.61259	2.62082
0.72	5.6143	2.61375
0.721	5.61598	2.60672
0.722	5.61763	2.5997
0.723	5.61925	2.59271
0.724	5.62084	2.58575
0.725	5.6224	2.57881
0.726	5.62393	2.57189
0.727	5.62544	2.565
0.728	5.62692	2.55813
0.729	5.62836	2.55129
0.73	5.62979	2.54447
0.731	5.63118	2.53768
0.732	5.63255	2.53091
0.733	5.63389	2.52417
0.734	5.63521	2.51745
0.735	5.6365	2.51076
0.736	5.63777	2.50409
0.737	5.63901	2.49744
0.738	5.64022	2.49082
0.739	5.64141	2.48423
0.74	5.64258	2.47766
0.741	5.64372	2.47111
0.742	5.64484	2.46459
0.743	5.64594	2.45809
0.744	5.64701	2.45162
0.745	5.64806	2.44517
0.746	5.64908	2.43875
0.747	5.65009	2.43235
0.748	5.65107	2.42598
0.749	5.65203	2.41963
0.75	5.65297	2.4133
0.751	5.65389	2.407
0.752	5.65479	2.40072
0.753	5.65566	2.39447
0.754	5.65652	2.38824
0.755	5.65736	2.38204
0.756	5.65817	2.37586
0.757	5.65897	2.3697
0.758	5.65974	2.36357
0.759	5.6605	2.35746
0.76	5.66124	2.35137
0.761	5.66196	2.34531
0.762	5.66266	2.33928
0.763	5.66334	2.33326
0.764	5.66401	2.32727
0.765	5.66465	2.32131
0.766	5.66528	2.31536
0.767	5.66589	2.30944
0.768	5.66649	2.30355
0.769	5.66707	2.29768
0.77	5.66763	2.29183
0.771	5.66817	2.286
0.772	5.6687	2.2802
